elev,N,count,median,p25,p75
18,0,10,0.608,0.586,0.619
18,2,7,0.6,0.566,0.622
18,3,10,0.579,0.54,0.612
18,5,9,0.589,0.568,0.66
18,6,8,0.641,0.567,0.793
18,8,5,0.409,0.209,0.421
28,0,27,1.03,1.004,1.048
28,2,17,1.023,0.993,1.039
28,6,5,1.041,0.841,1.065
43,0,7,0.896,0.868,0.922
43,3,6,0.902,0.879,0.935
43,5,5,0.889,0.655,0.89
48,0,10,0.938,0.916,1.009
48,2,17,0.931,0.904,0.972
48,3,5,0.963,0.932,0.982
48,5,8,0.933,0.905,0.999
48,6,10,0.707,0.261,0.988
48,8,7,0.595,0.276,0.904
53,0,12,1.011,0.995,1.025
53,2,15,1.017,1.007,1.039
53,3,6,0.999,0.973,1.016
53,5,5,1.003,0.999,1.008
