elev,N,count,median,p25,p75
18,8,9,0.557,0.404,0.66
23,6,8,0.71,0.665,0.887
23,8,9,0.277,0.268,0.408
33,0,10,1.054,1.042,1.064
33,2,6,1.028,1.018,1.079
33,3,6,1.06,1.054,1.069
33,6,10,1.009,0.863,1.023
33,8,10,0.351,0.302,0.416
48,2,6,0.938,0.912,0.952
48,3,6,0.956,0.917,0.962
48,6,5,0.97,0.954,1.047
48,7,5,0.697,0.254,0.726
48,8,5,0.232,0.205,0.495
53,0,6,1.016,1.009,1.034
53,2,5,1.008,0.95,1.054
53,6,8,0.969,0.949,0.974
58,2,9,1.015,1.007,1.022
58,5,6,1.056,1.028,1.082
58,6,7,1.008,0.955,1.068
58,7,5,0.982,0.547,0.996
58,8,8,0.741,0.538,1.012
