elev,N,count,median,p25,p75
23,2,7,0.685,0.678,0.732
23,3,8,0.683,0.649,0.712
23,5,15,0.691,0.654,0.727
23,6,16,0.655,0.443,0.758
23,8,14,0.376,0.235,0.74
33,0,20,1.061,1.041,1.075
33,2,13,1.04,0.974,1.07
33,6,9,0.938,0.685,0.977
33,8,5,0.226,0.195,0.235
53,2,8,0.957,0.916,0.969
53,3,7,0.952,0.943,0.981
53,5,17,0.952,0.937,0.99
53,6,12,0.994,0.933,1.036
53,7,5,0.91,0.68,0.92
53,8,7,0.199,0.037,0.81
58,0,8,0.99,0.974,1.024
58,2,12,1.003,0.974,1.022
58,3,9,1.012,1.006,1.022
58,5,6,1.016,0.96,1.028
58,6,7,1.034,0.997,1.05
58,8,6,0.263,0.197,0.285
