elev,N,count,median,p25,p75
8,0,7,0.606,0.519,0.706
8,2,7,0.631,0.531,0.651
8,6,5,0.647,0.63,0.655
8,8,6,0.55,0.165,0.816
13,0,8,0.5,0.499,0.525
13,2,6,0.509,0.475,0.516
13,3,5,0.512,0.486,0.513
13,5,7,0.508,0.435,0.552
13,6,16,0.549,0.502,0.603
13,7,6,0.453,0.365,0.477
13,8,32,0.427,0.189,0.633
18,0,21,0.629,0.607,0.888
18,2,12,0.612,0.592,0.636
18,3,19,0.596,0.54,0.852
18,5,16,0.607,0.577,0.75
18,6,17,0.635,0.546,0.793
18,7,8,0.713,0.483,0.819
18,8,33,0.464,0.305,0.602
23,0,27,0.933,0.706,0.996
23,1,6,0.692,0.647,0.709
23,2,26,0.704,0.678,0.75
23,3,32,0.711,0.675,0.941
23,5,29,0.702,0.671,0.793
23,6,49,0.628,0.457,0.759
23,7,7,0.445,0.379,0.853
23,8,65,0.411,0.248,0.736
28,0,30,1.033,1.004,1.051
28,2,21,1.023,1.011,1.039
28,3,5,1.031,1.018,1.046
28,6,10,1.037,0.671,1.068
28,7,6,0.626,0.517,0.798
28,8,22,0.491,0.256,0.659
33,0,55,1.058,1.019,1.074
33,2,30,1.037,0.99,1.07
33,3,15,1.05,0.806,1.055
33,5,11,1.009,0.862,1.047
33,6,25,0.932,0.743,1.014
33,7,10,0.719,0.478,0.897
33,8,34,0.351,0.19,0.541
38,0,10,0.877,0.855,1.001
38,2,10,0.913,0.86,0.973
38,3,5,0.938,0.904,0.943
38,5,8,0.918,0.858,0.955
38,6,8,0.822,0.644,1.008
38,8,12,0.529,0.27,0.983
43,0,14,0.916,0.896,1.009
43,2,13,0.921,0.9,1.006
43,3,10,0.925,0.889,0.992
43,5,16,0.894,0.861,1.005
43,6,15,0.841,0.636,0.894
43,7,9,0.629,0.482,0.89
43,8,33,0.409,0.209,0.584
48,0,17,0.957,0.936,1.009
48,1,5,0.939,0.918,1.016
48,2,29,0.936,0.915,0.996
48,3,14,0.96,0.93,0.973
48,5,14,0.955,0.917,1.009
48,6,23,0.988,0.677,1.044
48,7,13,0.726,0.526,0.933
48,8,34,0.349,0.232,0.738
53,0,24,1.007,0.964,1.021
53,1,5,1.02,1.002,1.022
53,2,38,0.984,0.956,1.017
53,3,20,0.976,0.954,1.014
53,5,36,0.964,0.945,1.005
53,6,39,0.968,0.898,1.022
53,7,16,0.893,0.514,0.989
53,8,30,0.366,0.175,0.902
58,0,11,0.998,0.974,1.02
58,2,25,1.009,1.001,1.022
58,3,13,1.013,1.006,1.021
58,5,13,1.028,1.009,1.053
58,6,15,1.008,0.964,1.05
58,7,9,0.96,0.71,0.996
58,8,16,0.457,0.26,0.966
63,0,10,1.013,0.996,1.019
63,2,13,1.015,1.01,1.023
63,3,6,1.019,0.987,1.039
63,5,6,1.026,1.011,1.047
63,6,10,1.033,0.853,1.04
63,7,5,0.89,0.77,0.99
63,8,14,0.36,0.244,0.605
