elev,N,count,median,p25,p75
8,2,6,0.608,0.485,0.722
8,6,11,0.551,0.459,0.597
8,7,10,0.68,0.576,0.881
8,8,34,0.374,0.198,0.501
13,0,12,0.698,0.645,0.742
13,2,14,0.735,0.681,0.789
13,3,7,0.669,0.643,0.697
13,5,9,0.707,0.644,0.781
13,6,15,0.689,0.611,0.919
13,7,7,0.602,0.36,0.672
13,8,68,0.34,0.222,0.515
18,0,11,0.698,0.671,0.821
18,2,19,0.753,0.667,0.876
18,3,14,0.668,0.647,0.752
18,5,11,0.727,0.626,0.847
18,6,22,0.706,0.478,0.814
18,7,15,0.59,0.43,0.798
18,8,84,0.301,0.186,0.469
23,0,15,0.706,0.672,0.775
23,2,19,0.705,0.661,0.789
23,3,17,0.68,0.655,0.764
23,5,23,0.709,0.654,0.866
23,6,27,0.714,0.452,0.836
23,7,11,0.811,0.402,0.867
23,8,60,0.346,0.19,0.619
28,0,14,0.187,0.169,0.547
28,2,13,0.206,0.185,0.235
28,3,6,0.729,0.241,0.78
28,5,8,0.937,0.905,0.99
28,6,9,0.405,0.249,0.473
28,7,12,0.645,0.509,0.966
28,8,39,0.418,0.275,0.51
33,0,29,0.949,0.914,1.007
33,2,24,0.92,0.871,0.99
33,3,10,0.995,0.885,1.014
33,5,11,0.959,0.894,1.028
33,6,10,0.881,0.602,0.952
33,7,11,0.819,0.35,1.02
33,8,36,0.293,0.182,0.518
38,5,7,0.942,0.857,0.998
38,6,9,0.85,0.518,0.974
38,7,8,0.709,0.299,1.064
38,8,16,0.48,0.228,0.728
43,0,5,0.907,0.886,0.918
43,2,6,0.954,0.857,0.992
43,3,5,0.828,0.796,0.855
43,5,7,0.962,0.837,1.025
43,6,7,0.913,0.888,1.02
43,7,7,0.591,0.388,0.712
43,8,19,0.367,0.199,0.556
48,0,6,0.925,0.868,0.978
48,2,12,0.877,0.856,0.985
48,3,7,0.873,0.859,0.901
48,5,7,0.881,0.856,0.95
48,6,16,0.938,0.704,1.024
48,7,5,0.85,0.662,0.922
48,8,16,0.353,0.271,0.777
53,0,13,0.921,0.879,0.952
53,2,17,0.888,0.874,0.923
53,3,11,0.871,0.847,0.89
53,5,19,0.859,0.846,0.946
53,6,19,0.878,0.837,1.004
53,7,6,0.856,0.83,0.88
53,8,19,0.5,0.19,0.888
58,0,8,0.851,0.85,0.86
58,2,13,0.882,0.849,0.902
58,3,7,0.86,0.851,0.879
58,5,6,0.903,0.849,0.976
58,6,5,0.911,0.894,0.923
58,7,6,0.744,0.413,0.879
58,8,7,0.231,0.149,0.586
63,2,8,0.865,0.864,0.882
63,5,7,0.916,0.883,0.965
63,8,8,0.28,0.232,0.87
