elev,N,count,median,p25,p75
8,0,7,0.487,0.374,0.585
8,6,7,0.501,0.39,0.597
8,8,6,0.196,0.13,0.342
13,0,15,0.64,0.362,0.684
13,2,5,0.61,0.412,0.648
13,3,8,0.655,0.557,0.677
13,5,8,0.634,0.55,0.686
13,6,13,0.617,0.532,0.721
13,7,6,0.413,0.357,0.565
13,8,26,0.381,0.3,0.515
18,0,22,0.634,0.616,0.671
18,2,18,0.617,0.601,0.633
18,3,11,0.652,0.634,0.724
18,5,13,0.63,0.601,0.734
18,6,19,0.649,0.463,0.718
18,7,7,0.661,0.455,0.798
18,8,25,0.383,0.224,0.62
23,0,37,0.644,0.612,0.7
23,2,29,0.667,0.639,0.705
23,3,27,0.675,0.65,0.693
23,5,27,0.672,0.628,0.706
23,6,39,0.645,0.45,0.732
23,7,12,0.675,0.439,0.754
23,8,63,0.427,0.221,0.645
28,0,33,0.164,0.137,0.184
28,2,17,0.187,0.181,0.218
28,5,7,0.251,0.156,0.352
28,6,12,0.301,0.249,0.405
28,7,5,0.437,0.335,0.467
28,8,16,0.311,0.18,0.51
33,0,57,0.882,0.697,0.942
33,2,35,0.871,0.716,0.925
33,3,18,0.832,0.686,0.956
33,5,16,0.924,0.728,1.028
33,6,24,0.687,0.509,0.885
33,7,12,0.754,0.502,0.864
33,8,28,0.245,0.165,0.379
38,0,9,0.832,0.801,0.852
38,2,11,0.836,0.819,0.897
38,5,7,0.912,0.842,1.016
38,6,11,0.808,0.518,0.974
38,7,7,0.316,0.164,1.029
38,8,16,0.356,0.282,0.727
43,0,11,0.842,0.817,0.907
43,2,20,0.833,0.823,0.864
43,3,10,0.831,0.805,0.855
43,5,10,0.871,0.83,1.022
43,6,16,0.896,0.87,1.006
43,7,8,0.392,0.318,0.621
43,8,28,0.285,0.199,0.529
48,0,30,0.835,0.809,0.877
48,2,20,0.856,0.835,0.943
48,3,11,0.862,0.848,0.881
48,5,15,0.858,0.816,0.924
48,6,29,0.901,0.766,1.002
48,7,8,0.756,0.518,0.942
48,8,33,0.332,0.239,0.633
53,0,35,0.886,0.831,0.926
53,1,5,0.842,0.813,0.889
53,2,36,0.881,0.855,0.919
53,3,22,0.869,0.812,0.926
53,5,36,0.864,0.838,0.933
53,6,40,0.87,0.796,0.965
53,7,13,0.836,0.585,0.88
53,8,23,0.5,0.196,0.897
58,0,14,0.846,0.765,0.852
58,2,21,0.847,0.798,0.882
58,3,14,0.823,0.784,0.867
58,5,11,0.848,0.78,0.916
58,6,15,0.899,0.84,0.947
58,7,9,0.703,0.319,0.879
58,8,16,0.246,0.18,0.732
63,0,9,0.783,0.692,0.846
63,2,16,0.819,0.772,0.865
63,3,6,0.799,0.767,0.861
63,5,13,0.841,0.781,0.916
63,6,13,0.845,0.767,0.9
63,7,6,0.871,0.792,0.936
63,8,9,0.245,0.232,0.337
