elev,N,count,median,p25,p75
8,2,6,0.431,0.421,0.501
8,6,11,0.613,0.501,0.657
8,7,10,0.612,0.512,0.702
8,8,34,0.333,0.202,0.539
13,0,12,0.573,0.4,0.714
13,2,14,0.449,0.295,0.651
13,3,7,0.609,0.267,0.665
13,5,9,0.569,0.49,0.716
13,6,15,0.589,0.454,0.789
13,7,7,0.562,0.387,0.645
13,8,69,0.36,0.261,0.513
18,0,11,0.78,0.605,0.792
18,2,19,0.769,0.696,0.824
18,3,14,0.692,0.669,0.763
18,5,12,0.765,0.656,0.826
18,6,24,0.656,0.491,0.853
18,7,14,0.507,0.444,0.697
18,8,87,0.313,0.212,0.481
23,0,16,0.8,0.759,0.849
23,2,19,0.808,0.796,0.826
23,3,18,0.813,0.738,0.925
23,5,23,0.819,0.755,0.83
23,6,29,0.688,0.455,0.838
23,7,10,0.831,0.49,0.908
23,8,61,0.366,0.237,0.672
28,0,14,0.905,0.866,0.931
28,2,12,0.903,0.884,0.925
28,3,6,0.865,0.79,0.893
28,5,7,0.87,0.835,0.877
28,6,10,0.945,0.732,1.021
28,7,10,0.718,0.681,0.766
28,8,37,0.44,0.297,0.645
33,0,29,0.949,0.921,0.98
33,2,25,0.959,0.925,1.002
33,3,10,0.894,0.868,0.937
33,5,10,0.92,0.903,0.959
33,6,16,0.923,0.659,0.975
33,7,12,0.63,0.379,0.917
33,8,33,0.315,0.207,0.468
38,5,8,0.958,0.936,1.029
38,6,11,0.925,0.853,0.988
38,7,7,0.88,0.139,1.041
38,8,16,0.367,0.23,0.79
43,0,5,0.88,0.862,0.881
43,2,6,0.887,0.863,1.005
43,3,5,0.862,0.858,0.865
43,5,5,0.832,0.831,0.912
43,6,8,0.942,0.912,1.039
43,7,7,0.495,0.442,0.784
43,8,20,0.469,0.226,0.887
48,0,6,0.961,0.904,0.976
48,2,12,0.89,0.872,0.952
48,3,7,0.899,0.865,0.908
48,5,7,0.859,0.799,0.895
48,6,16,0.983,0.841,1.042
48,7,5,0.908,0.705,0.996
48,8,16,0.405,0.259,0.837
53,0,13,0.951,0.913,0.994
53,2,17,0.914,0.892,0.935
53,3,11,0.923,0.889,0.945
53,5,19,0.923,0.871,0.947
53,6,16,0.945,0.908,1.005
53,7,5,0.92,0.791,0.97
53,8,19,0.582,0.218,0.895
58,0,8,0.907,0.892,0.986
58,2,12,0.96,0.942,0.983
58,3,7,0.968,0.89,0.993
58,5,5,0.959,0.901,0.97
58,7,5,0.891,0.752,0.892
58,8,7,0.295,0.164,0.561
63,2,8,0.862,0.853,0.925
63,5,6,0.891,0.865,0.947
63,8,8,0.485,0.289,0.864
