elev,N,count,median,p25,p75
8,0,6,0.466,0.442,0.48
8,2,9,0.439,0.42,0.524
8,6,14,0.721,0.494,0.781
8,8,28,0.474,0.278,0.688
13,0,7,0.473,0.456,0.741
13,2,13,0.544,0.424,0.635
13,3,5,0.614,0.556,0.737
13,5,11,0.652,0.408,0.778
13,6,25,0.606,0.488,0.679
13,7,7,0.454,0.318,0.683
13,8,63,0.301,0.18,0.516
18,0,13,0.853,0.769,0.959
18,2,6,0.814,0.8,0.815
18,3,17,0.78,0.752,0.887
18,5,12,0.741,0.7,0.831
18,6,27,0.637,0.514,0.806
18,7,12,0.665,0.535,0.881
18,8,82,0.309,0.189,0.509
23,0,19,0.925,0.898,0.983
23,1,6,0.874,0.862,0.902
23,2,18,0.898,0.855,0.928
23,3,13,0.853,0.748,0.901
23,5,15,0.874,0.832,0.936
23,6,46,0.851,0.633,0.945
23,7,8,0.718,0.65,0.855
23,8,52,0.384,0.264,0.536
28,0,18,0.996,0.92,1.024
28,2,11,1.017,0.817,1.041
28,3,7,0.921,0.9,1.024
28,5,8,0.94,0.889,1.027
28,6,18,0.848,0.801,0.959
28,7,6,0.947,0.538,1.076
28,8,27,0.422,0.238,0.625
33,0,13,1.017,0.917,1.066
33,2,11,1.044,0.934,1.067
33,5,5,0.977,0.961,1.054
33,6,13,0.966,0.921,1.029
33,7,6,0.566,0.518,0.654
33,8,28,0.366,0.277,0.57
38,0,7,0.887,0.799,1.026
38,2,10,0.954,0.858,1.006
38,3,7,0.888,0.88,0.96
38,5,5,0.979,0.846,0.998
38,6,5,0.874,0.66,0.878
38,8,11,0.376,0.218,0.775
43,0,7,0.82,0.781,1.02
43,2,5,0.984,0.972,0.989
43,3,5,0.964,0.957,0.969
43,5,8,0.959,0.868,1.043
43,6,6,0.82,0.179,0.973
43,8,15,0.384,0.137,0.819
48,0,8,0.947,0.935,1.033
48,2,11,0.933,0.918,1.006
48,3,7,0.974,0.962,0.996
48,6,8,0.998,0.784,1.087
48,7,8,0.493,0.433,1.028
48,8,15,0.312,0.18,0.868
53,0,9,1.036,0.967,1.057
53,2,16,0.974,0.952,1.034
53,3,8,0.971,0.942,1.042
53,5,16,0.997,0.95,1.011
53,6,24,0.944,0.799,1.044
53,7,9,0.556,0.472,0.888
53,8,13,0.326,0.22,0.903
58,2,9,1.019,0.983,1.035
58,5,6,1.019,0.996,1.05
58,6,10,0.999,0.71,1.027
58,8,10,0.391,0.195,0.603
63,0,6,0.952,0.941,0.983
63,2,5,0.95,0.943,0.964
63,6,8,0.983,0.962,1.032
63,8,7,0.208,0.16,0.796
