elev,N,count,median,p25,p75
8,0,14,0.469,0.43,0.524
8,2,5,0.479,0.478,0.578
8,5,5,0.653,0.548,0.754
8,6,10,0.512,0.394,0.708
8,7,6,0.559,0.55,0.666
8,8,21,0.486,0.23,0.601
13,0,14,0.442,0.287,0.592
13,2,8,0.632,0.614,0.758
13,3,9,0.497,0.361,0.622
13,5,7,0.551,0.434,0.7
13,6,15,0.666,0.559,0.75
13,7,14,0.565,0.518,0.723
13,8,56,0.326,0.207,0.519
18,0,19,0.701,0.524,0.738
18,2,19,0.709,0.623,0.728
18,3,6,0.73,0.7,0.763
18,5,11,0.694,0.578,0.794
18,6,25,0.698,0.631,0.779
18,7,13,0.454,0.413,0.823
18,8,74,0.361,0.222,0.502
23,0,28,0.763,0.712,0.844
23,2,16,0.763,0.738,0.791
23,3,16,0.748,0.733,0.788
23,5,20,0.76,0.735,0.811
23,6,24,0.707,0.437,0.795
23,7,12,0.64,0.306,0.753
23,8,49,0.379,0.22,0.599
28,0,26,0.909,0.868,0.981
28,2,11,0.866,0.825,0.939
28,3,6,0.861,0.852,0.872
28,5,9,0.847,0.814,0.878
28,6,16,0.84,0.793,0.938
28,7,5,0.37,0.36,0.512
28,8,23,0.33,0.233,0.535
33,0,33,0.922,0.898,0.97
33,2,16,0.911,0.896,0.937
33,3,13,0.914,0.892,0.969
33,5,11,0.92,0.787,0.941
33,6,21,0.916,0.762,0.98
33,7,10,0.667,0.57,0.758
33,8,28,0.33,0.242,0.774
38,0,7,0.868,0.843,0.973
38,2,10,0.959,0.843,0.968
38,6,5,0.789,0.448,0.855
38,8,22,0.307,0.194,0.381
43,0,6,0.866,0.844,0.881
43,2,15,0.869,0.858,0.89
43,6,10,0.89,0.356,1.006
43,8,12,0.265,0.222,0.393
48,0,23,0.86,0.829,0.913
48,2,8,0.819,0.796,0.957
48,5,8,0.841,0.839,0.922
48,6,10,0.948,0.808,1.048
48,8,15,0.343,0.225,0.745
53,0,22,0.945,0.891,0.992
53,2,19,0.888,0.868,0.933
53,3,11,0.9,0.894,0.962
53,5,16,0.889,0.866,0.959
53,6,21,0.905,0.848,0.951
53,7,7,0.398,0.283,1.012
58,0,6,0.902,0.884,0.914
58,2,8,0.912,0.904,0.952
58,3,6,0.925,0.9,0.929
58,6,10,0.918,0.789,0.96
58,8,10,0.635,0.267,0.813
63,0,5,0.897,0.886,0.925
63,2,8,0.912,0.91,0.922
63,5,6,0.915,0.859,0.927
63,6,10,0.921,0.848,0.965
