elev,N,count,median,p25,p75
13,6,7,0.34,0.241,0.612
13,8,6,0.461,0.15,0.642
18,2,5,0.387,0.368,0.614
18,6,5,0.522,0.399,0.555
18,8,7,0.379,0.346,0.513
23,0,12,0.433,0.407,0.478
23,6,7,0.723,0.473,0.86
23,8,13,0.46,0.425,0.556
28,0,22,0.643,0.567,0.749
28,2,7,0.603,0.523,0.717
28,5,5,0.59,0.585,0.666
28,6,5,0.649,0.618,0.677
33,0,26,0.777,0.733,0.802
33,2,12,0.786,0.765,0.845
33,3,10,0.747,0.608,0.841
33,5,6,0.771,0.696,0.783
33,6,18,0.721,0.504,0.784
33,7,6,0.631,0.406,0.765
33,8,12,0.266,0.198,0.578
38,0,6,1.008,0.985,1.021
38,2,6,0.779,0.729,0.844
38,5,5,0.956,0.942,0.986
38,7,5,0.908,0.296,1.071
38,8,5,0.226,0.2,0.467
43,0,7,0.993,0.945,1.003
43,2,15,0.954,0.813,0.979
43,3,5,0.863,0.778,0.888
43,6,7,0.787,0.571,0.971
43,8,10,0.378,0.18,0.603
48,0,22,0.791,0.774,0.891
48,2,8,0.911,0.862,0.974
48,5,9,0.91,0.856,0.92
48,6,12,0.932,0.796,1.012
48,8,13,0.671,0.404,0.868
53,0,21,0.813,0.761,0.871
53,2,18,0.86,0.783,0.946
53,3,11,0.85,0.741,0.924
53,5,15,0.841,0.753,0.92
53,6,17,0.906,0.844,0.989
53,7,7,0.801,0.336,0.923
58,0,6,0.733,0.729,0.783
58,2,8,0.763,0.751,0.853
58,3,6,0.776,0.744,0.897
58,5,5,0.752,0.733,0.773
58,6,11,0.783,0.711,0.87
58,8,9,0.244,0.119,0.518
63,2,8,0.747,0.717,0.789
63,5,6,0.766,0.734,0.84
63,6,10,0.793,0.746,0.836
