elev,N,count,median,p25,p75
8,6,5,0.638,0.515,0.964
8,7,10,0.638,0.375,0.805
8,8,24,0.481,0.352,0.862
13,2,6,0.543,0.527,0.572
13,6,11,0.697,0.575,0.784
13,7,6,0.523,0.462,0.688
13,8,43,0.341,0.209,0.485
18,5,5,0.573,0.526,0.693
18,6,14,0.69,0.551,0.875
18,7,6,0.539,0.415,0.683
18,8,58,0.365,0.195,0.564
23,0,5,0.858,0.771,0.918
23,6,6,0.557,0.349,0.67
23,7,7,0.524,0.366,0.741
23,8,24,0.324,0.245,0.512
28,2,9,0.985,0.729,1.026
28,3,8,0.868,0.604,1.025
28,6,10,0.7,0.61,0.755
28,7,6,0.812,0.451,0.992
28,8,16,0.477,0.369,0.59
33,0,9,0.988,0.674,1.029
33,2,5,0.807,0.626,0.972
33,3,7,0.982,0.526,1.041
33,6,7,0.87,0.786,0.999
33,7,6,0.54,0.433,1.048
33,8,13,0.367,0.344,0.49
38,2,6,0.813,0.591,0.936
38,5,6,0.744,0.661,0.816
38,6,6,0.907,0.581,0.946
38,8,16,0.521,0.373,0.634
43,8,5,0.51,0.468,0.518
