elev,N,count,median,p25,p75
8,0,6,0.614,0.592,0.77
8,2,9,0.621,0.54,0.694
8,3,5,0.812,0.763,0.844
8,6,13,0.757,0.688,0.873
8,8,27,0.587,0.372,0.784
13,0,7,0.538,0.499,0.91
13,2,13,0.835,0.516,0.852
13,3,5,0.667,0.546,0.833
13,5,11,0.664,0.577,0.885
13,6,25,0.578,0.507,0.775
13,7,8,0.5,0.452,0.676
13,8,59,0.346,0.215,0.538
18,0,14,0.8,0.648,0.909
18,2,6,0.616,0.592,0.636
18,3,17,0.648,0.612,0.835
18,5,12,0.71,0.629,0.815
18,6,27,0.68,0.543,0.818
18,7,11,0.636,0.483,0.819
18,8,64,0.378,0.197,0.557
23,0,19,0.956,0.721,0.996
23,1,5,0.689,0.647,0.695
23,2,15,0.705,0.662,0.896
23,3,13,0.709,0.675,0.894
23,5,12,0.731,0.702,0.851
23,6,42,0.724,0.504,0.877
23,7,6,0.692,0.448,0.823
23,8,46,0.392,0.231,0.57
28,0,17,1.002,0.901,1.015
28,2,11,1.011,0.89,1.018
28,3,7,0.817,0.759,1.005
28,5,6,0.92,0.783,0.97
28,6,15,0.848,0.752,0.963
28,8,25,0.36,0.276,0.607
33,0,31,1.058,1.008,1.076
33,2,17,1.04,0.964,1.07
33,3,8,1.051,0.82,1.055
33,5,5,0.928,0.789,0.956
33,6,24,0.95,0.799,1.022
33,7,7,0.625,0.478,0.818
33,8,32,0.453,0.302,0.648
38,0,7,0.879,0.866,1.006
38,2,10,0.916,0.862,0.999
38,3,9,0.915,0.891,1.03
38,5,5,0.919,0.695,0.921
38,6,5,0.775,0.644,0.994
38,8,12,0.477,0.328,0.846
43,0,8,0.966,0.896,1.032
43,2,5,1.011,0.983,1.031
43,3,5,0.936,0.935,1.023
43,5,10,0.894,0.861,0.959
43,6,5,0.835,0.738,0.894
43,8,16,0.431,0.367,0.602
48,0,8,0.96,0.938,1.009
48,2,11,0.972,0.934,0.996
48,3,6,0.965,0.954,1.015
48,6,6,0.962,0.677,1.058
48,7,7,0.697,0.254,0.933
48,8,15,0.345,0.174,0.738
53,0,8,1.017,1.009,1.029
53,2,18,0.987,0.958,1.044
53,3,8,0.985,0.952,1.023
53,5,13,0.979,0.953,1.024
53,6,22,0.967,0.904,1.019
53,7,9,0.821,0.514,1.044
53,8,12,0.225,0.174,0.48
58,2,8,1.033,1.022,1.05
58,5,6,1.045,1.028,1.074
58,6,10,1.004,0.955,1.05
58,8,8,0.719,0.376,0.997
63,0,6,1.013,1.009,1.019
63,2,6,1.023,1.021,1.028
63,6,8,1.033,0.879,1.04
63,8,7,0.25,0.238,0.615
