elev,N,count,median,p25,p75
8,2,6,0.706,0.631,0.886
8,6,10,0.651,0.541,0.684
8,7,8,0.756,0.706,0.787
8,8,33,0.398,0.24,0.615
13,0,12,0.515,0.5,0.85
13,2,14,0.576,0.49,0.846
13,3,7,0.527,0.506,0.53
13,5,8,0.517,0.501,0.563
13,6,10,0.682,0.617,0.874
13,7,7,0.66,0.365,0.879
13,8,68,0.395,0.236,0.591
18,0,11,0.609,0.592,0.682
18,2,17,0.712,0.635,0.795
18,3,13,0.597,0.54,0.815
18,5,11,0.661,0.577,0.847
18,6,23,0.683,0.546,0.908
18,7,14,0.679,0.486,0.806
18,8,87,0.349,0.23,0.503
23,0,14,0.776,0.706,0.855
23,2,19,0.728,0.685,0.824
23,3,17,0.723,0.698,0.962
23,5,23,0.793,0.697,0.871
23,6,25,0.741,0.665,0.905
23,7,10,0.779,0.445,0.853
23,8,58,0.42,0.251,0.7
28,0,14,1.043,0.99,1.064
28,2,13,1.023,0.963,1.034
28,3,6,0.868,0.837,1.018
28,5,7,0.774,0.735,0.932
28,6,9,1.005,0.618,1.065
28,7,12,0.752,0.667,0.866
28,8,39,0.465,0.322,0.654
33,0,24,1.054,1.019,1.071
33,2,20,1.012,0.971,1.048
33,3,8,1.001,0.931,1.069
33,5,9,0.903,0.848,0.975
33,6,9,0.868,0.672,0.956
33,7,10,0.763,0.516,0.903
33,8,35,0.34,0.195,0.509
38,5,7,0.918,0.858,0.961
38,6,7,0.738,0.523,0.888
38,7,7,0.517,0.224,0.663
38,8,16,0.564,0.313,0.904
43,0,5,0.911,0.906,0.924
43,2,6,0.95,0.905,1.006
43,3,5,0.889,0.879,0.915
43,5,7,0.937,0.845,1.065
43,6,7,0.854,0.812,1.047
43,7,7,0.629,0.482,0.97
43,8,16,0.462,0.333,0.871
48,0,6,0.991,0.938,1.037
48,2,12,0.938,0.912,1.038
48,3,6,0.931,0.917,0.962
48,5,6,0.975,0.937,1.009
48,6,14,0.994,0.477,1.044
48,7,6,0.833,0.592,0.994
48,8,15,0.495,0.232,0.876
53,0,12,1.007,0.971,1.02
53,2,15,0.959,0.948,1.008
53,3,8,0.965,0.954,1.016
53,5,17,0.955,0.94,0.99
53,6,13,0.95,0.702,1.016
53,7,5,0.91,0.886,0.955
53,8,18,0.573,0.202,0.958
58,0,7,1.012,0.986,1.024
58,2,13,1.006,0.983,1.015
58,3,6,1.002,0.951,1.013
58,5,5,1.011,0.96,1.028
58,7,6,0.83,0.547,0.96
58,8,7,0.26,0.197,0.626
63,2,7,1.01,1.005,1.015
63,8,7,0.385,0.253,0.49
