elev,N,count,median,p25,p75
8,0,7,0.794,0.573,0.837
8,7,5,0.597,0.466,0.648
8,8,15,0.387,0.277,0.768
13,2,5,0.557,0.536,0.56
13,6,11,0.586,0.505,0.71
13,7,12,0.672,0.579,0.813
13,8,34,0.454,0.23,0.554
18,0,6,0.615,0.61,0.629
18,2,7,0.584,0.56,0.701
18,5,8,0.749,0.717,0.986
18,6,10,0.733,0.624,0.828
18,7,8,0.471,0.439,0.801
18,8,42,0.346,0.219,0.53
23,0,8,0.693,0.636,0.933
23,3,6,0.664,0.621,0.707
23,5,10,0.667,0.635,0.691
23,6,10,0.699,0.58,0.758
23,7,7,0.44,0.304,0.559
23,8,34,0.356,0.23,0.524
28,0,10,1.033,0.867,1.049
28,2,7,0.95,0.832,1.027
28,3,6,0.857,0.838,0.885
28,5,5,0.932,0.848,0.955
28,6,12,0.783,0.694,0.859
28,8,12,0.422,0.265,0.924
33,0,5,1.017,0.981,1.042
33,5,6,1.014,0.808,1.042
33,6,8,0.932,0.888,1.01
33,8,11,0.552,0.375,0.757
38,8,8,0.324,0.276,0.403
43,8,5,0.218,0.209,0.341
48,2,6,0.909,0.882,0.933
48,5,6,0.934,0.905,1.008
53,2,5,0.998,0.916,1.008
53,5,6,0.978,0.937,1.003
58,3,5,1.018,1.012,1.022
