elev,N,count,median,p25,p75
13,0,5,0.729,0.714,0.753
13,6,15,0.558,0.488,0.75
13,7,8,0.412,0.363,0.692
13,8,31,0.34,0.192,0.562
18,2,7,0.727,0.721,0.736
18,8,16,0.297,0.219,0.502
23,0,8,0.885,0.757,0.973
23,3,6,0.94,0.888,0.978
23,8,26,0.426,0.197,0.698
28,0,9,0.985,0.965,1.037
28,2,5,0.942,0.939,0.994
28,6,5,0.938,0.891,1.004
28,8,18,0.345,0.233,0.615
38,6,6,0.917,0.66,0.987
38,8,12,0.339,0.27,0.652
43,2,8,0.872,0.862,0.876
43,5,7,0.88,0.832,0.923
43,6,11,0.867,0.29,0.973
43,7,5,0.449,0.239,0.929
43,8,31,0.378,0.207,0.819
48,0,8,0.984,0.96,1.05
48,2,5,0.986,0.957,1.02
48,6,9,1.02,0.841,1.071
48,8,22,0.318,0.225,0.746
53,0,6,0.999,0.967,1.046
53,8,12,0.418,0.326,0.864
