elev,N,count,median,p25,p75
23,0,8,0.753,0.712,0.794
23,1,5,0.862,0.843,0.902
23,2,12,0.788,0.767,0.818
23,3,10,0.797,0.748,0.86
23,5,17,0.822,0.798,0.862
23,6,23,0.711,0.476,0.844
23,8,14,0.408,0.271,0.672
33,0,27,0.924,0.898,1.017
33,2,18,0.938,0.903,0.991
33,3,5,0.88,0.868,0.882
33,5,6,0.926,0.895,0.959
33,6,11,0.916,0.57,1.025
53,0,8,0.879,0.844,0.913
53,2,14,0.883,0.868,0.926
53,3,11,0.889,0.868,0.929
53,5,22,0.896,0.873,0.954
53,6,18,0.941,0.883,0.98
53,7,6,0.477,0.385,0.791
53,8,7,0.22,0.102,0.887
58,0,11,0.894,0.884,0.911
58,2,17,0.922,0.904,0.976
58,3,10,0.925,0.89,0.929
58,5,7,0.912,0.901,0.996
58,6,9,0.998,0.916,1.027
58,8,8,0.192,0.176,0.356
63,2,6,0.899,0.87,0.95
