elev,N,count,median,p25,p75
18,0,7,0.785,0.711,0.822
18,5,6,0.737,0.583,0.819
18,6,7,0.779,0.632,0.866
18,7,5,0.462,0.424,0.469
18,8,15,0.528,0.416,0.703
23,2,5,0.787,0.774,0.799
23,3,5,0.778,0.738,0.782
23,6,10,0.491,0.438,0.868
23,8,17,0.361,0.249,0.599
28,0,5,0.99,0.981,1.019
33,0,11,0.948,0.921,0.98
33,2,7,0.957,0.927,1.014
33,3,6,0.914,0.879,0.938
33,6,13,0.794,0.516,0.974
33,7,5,0.801,0.518,0.881
33,8,20,0.302,0.199,0.383
48,0,7,0.898,0.855,1.033
48,2,6,0.881,0.849,0.906
48,3,5,0.913,0.908,0.964
48,6,9,0.902,0.784,0.948
48,7,5,0.903,0.505,0.996
48,8,13,0.259,0.206,0.589
53,0,8,0.934,0.909,0.963
53,2,6,0.938,0.925,0.993
53,5,8,0.922,0.901,0.95
53,6,16,0.955,0.908,1.044
58,2,8,0.985,0.964,1.035
58,3,5,0.983,0.969,0.993
58,5,7,1.018,0.95,1.054
58,6,15,0.96,0.789,1.049
58,7,8,0.613,0.399,0.981
58,8,17,0.58,0.295,0.813
