elev,N,count,median,p25,p75
8,8,5,0.739,0.641,0.751
13,0,7,0.287,0.266,0.456
13,2,8,0.341,0.295,0.424
13,6,14,0.552,0.41,0.644
13,8,12,0.278,0.248,0.422
18,6,7,0.702,0.364,0.806
18,7,5,0.484,0.463,0.588
18,8,10,0.389,0.27,0.656
23,5,5,0.903,0.827,0.909
23,6,14,0.77,0.634,0.815
23,7,6,0.717,0.676,0.855
23,8,8,0.557,0.372,0.677
28,0,9,0.836,0.79,0.9
28,2,6,0.854,0.825,0.886
28,3,6,0.867,0.796,0.9
28,5,8,0.874,0.844,0.967
28,6,13,0.832,0.793,0.864
28,7,5,0.6,0.36,0.749
28,8,24,0.34,0.243,0.645
33,2,5,0.981,0.911,1.053
33,6,8,0.967,0.936,1.025
33,8,13,0.334,0.272,0.541
38,8,5,0.194,0.165,0.23
