elev,N,count,median,p25,p75
13,0,5,0.633,0.592,0.675
13,8,5,0.447,0.373,0.486
18,0,14,0.676,0.524,0.752
18,2,8,0.747,0.668,0.814
18,3,10,0.759,0.687,0.779
18,5,9,0.731,0.656,0.794
18,6,8,0.616,0.491,0.743
18,8,5,0.365,0.194,0.376
23,0,7,0.878,0.844,0.925
23,8,5,0.237,0.22,0.502
28,0,31,0.915,0.873,1.008
28,2,17,0.902,0.866,0.962
28,5,5,0.888,0.847,0.913
28,6,10,0.936,0.807,1.022
28,8,5,0.348,0.164,0.776
43,0,10,0.837,0.809,0.875
43,2,7,0.863,0.855,0.876
43,3,7,0.862,0.809,0.941
43,5,5,0.848,0.791,0.971
43,8,5,0.306,0.215,0.312
48,0,18,0.911,0.829,0.943
48,2,18,0.915,0.872,0.933
48,3,7,0.923,0.879,0.962
48,5,9,0.84,0.839,0.859
48,6,14,0.98,0.801,1.042
48,8,9,0.68,0.329,0.794
53,0,15,1.017,0.987,1.036
53,2,13,0.998,0.931,1.034
53,3,6,0.99,0.9,1.008
53,5,5,0.985,0.959,1.001
53,6,7,0.939,0.48,1.057
