elev,N,count,median,p25,p75
8,0,9,0.474,0.446,0.493
8,2,8,0.478,0.474,0.587
8,6,10,0.583,0.481,0.697
8,7,10,0.571,0.499,0.649
8,8,35,0.36,0.226,0.577
13,0,8,0.534,0.449,0.694
13,2,12,0.592,0.476,0.7
13,5,5,0.651,0.534,0.652
13,6,9,0.56,0.492,0.769
13,7,8,0.579,0.562,0.698
13,8,24,0.366,0.225,0.615
18,6,9,0.752,0.623,0.819
18,8,25,0.349,0.231,0.487
28,8,13,0.436,0.256,0.576
33,0,11,0.962,0.936,0.975
33,2,7,0.976,0.881,1.002
33,3,8,0.975,0.93,1.016
33,5,5,0.961,0.896,0.994
33,6,12,0.932,0.839,0.98
33,7,9,0.449,0.287,0.646
33,8,34,0.426,0.265,0.774
38,2,7,0.912,0.835,0.99
38,5,8,0.95,0.876,1.028
38,6,10,0.754,0.571,0.865
38,7,7,0.655,0.517,0.88
38,8,36,0.348,0.218,0.603
43,8,14,0.465,0.237,0.635
