elev,N,count,median,p25,p75
8,0,12,0.475,0.458,0.531
8,2,7,0.501,0.42,0.525
8,6,8,0.578,0.407,0.778
8,8,8,0.32,0.23,0.783
13,0,7,0.4,0.295,0.449
13,5,5,0.423,0.408,0.434
18,0,8,0.951,0.327,0.973
18,2,6,0.256,0.199,0.685
18,6,7,0.527,0.429,0.65
18,8,5,0.469,0.373,0.606
23,0,15,0.898,0.824,0.928
23,3,5,0.876,0.798,0.981
23,5,5,0.857,0.77,0.867
23,6,9,0.573,0.437,0.65
23,8,9,0.547,0.21,0.701
33,0,11,0.932,0.907,0.967
33,2,6,0.933,0.924,0.961
33,3,5,0.879,0.864,0.907
33,5,5,0.943,0.941,0.95
33,6,5,0.976,0.921,0.983
38,0,16,0.87,0.843,0.996
38,2,18,0.959,0.858,0.976
38,5,8,0.951,0.846,0.998
38,6,10,0.898,0.874,0.988
38,7,5,0.324,0.223,0.974
38,8,6,0.313,0.276,0.79
43,2,10,0.971,0.901,0.989
43,6,6,0.836,0.201,0.916
43,8,6,0.371,0.231,0.644
48,0,5,0.852,0.851,0.86
