elev,N,count,median,p25,p75
8,0,5,0.576,0.562,0.592
8,7,6,0.529,0.492,0.706
8,8,12,0.385,0.231,0.553
13,2,6,0.388,0.331,0.618
13,5,5,0.631,0.48,0.696
13,6,9,0.553,0.459,0.739
13,8,9,0.488,0.123,0.54
18,3,6,0.65,0.624,0.695
18,7,6,0.456,0.384,0.555
18,8,29,0.375,0.236,0.437
23,8,28,0.343,0.239,0.457
28,8,11,0.339,0.219,0.455
33,0,8,0.804,0.782,0.824
33,8,5,0.713,0.549,0.716
38,6,5,0.809,0.804,0.812
38,8,10,0.344,0.313,0.759
43,8,9,0.401,0.176,0.49
