elev,N,count,median,p25,p75
18,0,6,0.601,0.573,0.671
18,6,5,0.545,0.463,0.588
18,8,10,0.579,0.383,0.755
23,2,5,0.639,0.601,0.659
23,8,12,0.324,0.218,0.692
33,0,10,0.984,0.661,1.06
33,2,5,0.99,0.669,1.046
33,3,6,0.985,0.834,1.065
33,6,10,0.663,0.404,0.858
33,8,17,0.268,0.165,0.308
48,0,5,0.85,0.845,0.868
48,2,5,0.856,0.851,0.893
48,6,6,0.811,0.766,0.853
48,8,12,0.289,0.192,0.6
53,0,7,0.952,0.902,0.968
53,5,7,0.858,0.851,0.942
53,6,10,0.866,0.768,0.918
58,2,5,0.861,0.849,0.863
58,3,5,0.867,0.856,0.93
58,5,5,0.848,0.848,0.976
58,6,10,0.905,0.801,0.949
58,7,6,0.366,0.314,0.896
58,8,12,0.509,0.231,0.82
