elev,N,count,median,p25,p75
18,0,11,0.668,0.633,0.671
18,2,5,0.633,0.63,0.644
18,3,5,0.647,0.634,0.674
18,5,6,0.649,0.601,0.727
18,6,7,0.688,0.376,0.746
23,8,5,0.305,0.249,0.553
28,0,19,0.164,0.133,0.181
28,2,12,0.186,0.181,0.218
28,6,6,0.301,0.249,0.33
43,0,6,0.82,0.806,0.834
43,2,7,0.823,0.798,0.833
43,3,5,0.805,0.796,0.828
48,0,12,0.812,0.809,0.842
48,2,10,0.856,0.802,0.862
48,5,9,0.819,0.813,0.86
48,6,11,0.784,0.522,0.919
48,8,6,0.455,0.332,0.543
53,0,10,0.849,0.8,0.921
53,2,9,0.919,0.814,0.925
53,3,5,0.796,0.769,0.806
53,5,5,0.9,0.816,0.914
