elev,N,count,median,p25,p75
13,0,5,0.691,0.64,0.704
13,6,12,0.636,0.559,0.835
13,7,6,0.413,0.357,0.565
13,8,19,0.384,0.309,0.588
18,2,7,0.601,0.591,0.611
18,8,9,0.455,0.224,0.548
23,0,7,0.644,0.622,0.835
23,3,6,0.846,0.657,0.986
23,8,17,0.429,0.336,0.604
28,0,9,0.15,0.142,0.203
28,6,6,0.308,0.246,0.434
28,8,10,0.421,0.22,0.51
38,8,10,0.356,0.288,0.618
43,2,7,0.854,0.831,0.864
43,5,7,0.876,0.837,1.022
43,6,10,0.91,0.855,1.04
43,8,19,0.299,0.168,0.742
48,0,8,0.958,0.927,0.978
48,6,11,1.024,0.949,1.05
48,8,12,0.398,0.237,0.918
53,0,6,0.921,0.918,0.94
53,8,7,0.776,0.431,1.006
