elev,N,count,median,p25,p75
8,0,7,0.487,0.374,0.585
8,6,7,0.501,0.39,0.597
8,8,6,0.196,0.13,0.342
13,0,6,0.353,0.344,0.505
18,2,5,0.622,0.616,0.626
18,6,6,0.674,0.555,0.738
23,0,7,0.631,0.604,0.642
23,6,7,0.531,0.422,0.776
23,8,8,0.42,0.186,0.619
33,0,5,0.891,0.882,0.895
33,2,5,0.877,0.838,0.922
33,5,5,0.943,0.906,0.959
38,0,9,0.832,0.801,0.852
38,2,11,0.836,0.819,0.897
38,6,7,0.808,0.717,0.979
38,7,5,0.316,0.299,1.029
38,8,6,0.467,0.19,0.728
43,2,6,0.849,0.79,0.974
43,6,5,0.889,0.888,0.898
43,8,5,0.271,0.22,0.408
48,0,5,0.8,0.79,0.804
