elev,N,count,median,p25,p75
23,0,10,0.67,0.655,0.705
23,2,10,0.701,0.667,0.707
23,3,9,0.677,0.65,0.682
23,5,6,0.592,0.381,0.712
23,6,8,0.681,0.589,0.769
23,8,13,0.645,0.326,0.773
33,0,21,0.839,0.697,0.97
33,2,11,0.853,0.703,0.99
33,3,5,0.689,0.686,0.713
33,7,6,0.437,0.312,0.853
33,8,7,0.339,0.159,0.611
53,0,5,0.881,0.872,0.886
53,2,12,0.878,0.855,0.886
53,3,6,0.882,0.871,0.931
53,5,9,0.862,0.859,0.946
53,6,12,0.848,0.833,0.961
53,7,6,0.875,0.841,0.893
53,8,7,0.489,0.143,0.897
63,0,8,0.74,0.692,0.846
63,2,12,0.82,0.768,0.872
63,3,6,0.799,0.767,0.861
63,5,10,0.889,0.781,0.921
63,6,11,0.835,0.761,0.912
63,8,6,0.28,0.232,0.337
