elev,N,count,median,p25,p75
8,0,5,0.576,0.562,0.592
8,7,5,0.554,0.492,0.706
13,2,5,0.377,0.331,0.4
18,8,6,0.396,0.306,0.419
33,0,8,0.804,0.782,0.824
38,8,6,0.344,0.314,0.759
