COMBINED

=== OVERALL STATS.CSV ===
elev,N,count,median,p25,p75
28,2,55,0.963,0.839,1.027
28,3,13,1.005,0.862,1.031
28,5,14,0.886,0.795,0.962
28,6,35,0.841,0.434,1.032
28,7,16,0.682,0.517,0.845
28,8,55,0.353,0.218,0.621
33,0,182,0.949,0.882,1.039
33,2,107,0.937,0.873,1.029
33,3,55,0.892,0.82,1.006
33,5,45,0.941,0.862,1.016
33,6,82,0.876,0.621,0.98
33,7,38,0.681,0.502,0.864
33,8,105,0.301,0.182,0.464
38,0,35,0.866,0.832,0.984
38,2,39,0.897,0.84,0.97
38,3,13,0.884,0.862,0.943
38,5,27,0.918,0.842,0.961
38,6,36,0.876,0.717,0.982
38,7,19,0.392,0.224,0.925
38,8,50,0.344,0.27,0.728
43,0,43,0.881,0.842,0.922
43,1,8,0.938,0.821,1.067
43,2,58,0.869,0.849,0.934
43,3,36,0.895,0.845,0.964
43,5,43,0.889,0.837,0.978
43,6,54,0.868,0.636,0.916
43,7,27,0.495,0.368,0.784
43,8,108,0.354,0.204,0.602
48,0,86,0.902,0.829,0.969
48,1,12,0.922,0.844,1.016
48,2,80,0.919,0.867,0.972
48,3,43,0.917,0.869,0.963
48,5,46,0.9,0.84,0.958
48,6,88,0.953,0.784,1.044
48,7,36,0.716,0.48,0.994
48,8,117,0.345,0.237,0.746
53,0,103,0.948,0.891,0.999
53,1,17,0.945,0.884,1.022
53,2,126,0.933,0.882,0.972
53,3,72,0.932,0.887,0.973
53,5,123,0.937,0.871,0.994
53,6,140,0.939,0.83,0.998
53,7,50,0.839,0.472,0.935
53,8,88,0.48,0.199,0.902
58,0,39,0.906,0.85,0.985
58,1,9,0.992,0.986,1.005
58,2,75,0.964,0.896,1.013
58,3,42,0.929,0.865,1.01
58,5,39,0.973,0.889,1.028
58,6,54,0.959,0.894,1.027
58,7,30,0.832,0.413,0.96
58,8,59,0.356,0.2,0.71
63,0,34,0.928,0.846,0.993
63,1,7,0.883,0.861,1.026
63,2,50,0.911,0.856,0.992
63,3,21,0.941,0.861,0.967
63,5,33,0.916,0.845,0.965
63,6,44,0.91,0.845,1.016
63,7,21,0.827,0.627,0.99
63,8,39,0.315,0.217,0.62

=== MONTHLY 01 ===
elev,N,count,median,p25,p75
13,2,11,0.68,0.558,0.715
13,5,14,0.63,0.561,0.776
13,6,17,0.617,0.55,0.689
13,7,5,0.579,0.468,0.659
13,8,43,0.359,0.197,0.539
18,0,14,0.773,0.628,0.814
18,2,21,0.779,0.702,0.824
18,3,35,0.684,0.624,0.763
18,5,27,0.779,0.711,0.868
18,6,28,0.695,0.561,0.839
18,7,31,0.589,0.427,0.779
18,8,232,0.33,0.214,0.472
23,8,32,0.296,0.197,0.393

=== MONTHLY 02 ===
elev,N,count,median,p25,p75
8,0,8,0.77,0.682,0.841
8,2,5,0.747,0.461,0.751
8,3,5,0.68,0.661,0.812
8,5,8,0.586,0.536,0.847
8,6,11,0.75,0.62,0.953
8,7,12,0.721,0.518,0.959
8,8,50,0.385,0.24,0.615
18,6,14,0.541,0.477,0.581
18,8,24,0.5,0.238,0.623
23,0,22,0.744,0.719,0.782
23,2,11,0.683,0.356,0.844
23,3,6,0.581,0.423,0.778
23,5,33,0.805,0.735,0.869
23,6,35,0.8,0.687,0.848
23,7,28,0.492,0.416,0.795
23,8,147,0.348,0.238,0.465
28,0,9,0.831,0.78,0.844
28,2,17,0.804,0.736,0.838
28,3,17,0.828,0.78,0.859
28,5,24,0.824,0.774,0.926
28,6,38,0.78,0.583,0.859
28,7,27,0.642,0.383,0.831
28,8,93,0.414,0.266,0.582
33,8,11,0.507,0.4,0.716

=== MONTHLY 03 ===
elev,N,count,median,p25,p75
8,0,16,0.588,0.545,0.618
8,2,13,0.621,0.533,0.706
8,3,7,0.604,0.545,0.697
8,5,9,0.578,0.547,0.62
8,6,17,0.604,0.481,0.739
8,7,18,0.543,0.492,0.719
8,8,54,0.417,0.285,0.587
13,0,13,0.588,0.457,0.82
13,2,21,0.647,0.448,0.809
13,3,5,0.705,0.489,0.86
13,5,7,0.665,0.48,0.927
13,6,12,0.615,0.577,0.913
13,7,13,0.578,0.493,0.657
13,8,40,0.365,0.21,0.599
18,0,7,0.711,0.563,0.819
18,2,8,0.866,0.721,0.954
18,3,9,0.728,0.656,0.976
18,5,6,0.781,0.585,0.967
18,6,21,0.768,0.623,0.877
18,7,11,0.555,0.413,0.746
18,8,62,0.36,0.231,0.47
23,8,5,0.205,0.162,0.366
28,0,6,0.84,0.708,0.914
28,3,6,0.818,0.793,0.905
28,6,9,0.739,0.459,0.856
28,7,6,0.752,0.739,0.758
28,8,34,0.429,0.256,0.535
33,0,35,0.828,0.773,0.947
33,2,19,0.881,0.802,1.001
33,3,23,0.885,0.818,0.985
33,5,16,0.915,0.835,0.991
33,6,32,0.881,0.769,0.976
33,7,23,0.512,0.276,0.698
33,8,96,0.458,0.265,0.706
38,0,11,0.835,0.803,0.973
38,2,17,0.844,0.817,0.965
38,3,10,0.87,0.75,0.935
38,5,23,0.903,0.764,0.95
38,6,27,0.738,0.501,0.824
38,7,22,0.675,0.589,0.859
38,8,92,0.346,0.242,0.611
43,2,9,0.918,0.842,1.053
43,6,8,1.043,1.02,1.059
43,7,5,0.855,0.834,0.88
43,8,34,0.427,0.224,0.656

=== MONTHLY 04 ===
elev,N,count,median,p25,p75
13,0,9,0.635,0.525,0.691
13,2,5,0.61,0.475,0.648
13,3,5,0.557,0.512,0.633
13,5,7,0.517,0.405,0.688
13,6,25,0.574,0.503,0.679
13,7,14,0.46,0.36,0.52
13,8,47,0.411,0.215,0.578
18,2,14,0.66,0.601,0.727
18,3,5,0.652,0.554,0.692
18,5,5,0.734,0.583,0.735
18,8,40,0.335,0.224,0.535
23,0,18,0.912,0.753,0.996
23,2,6,0.714,0.508,0.999
23,3,14,0.97,0.925,0.993
23,6,6,0.664,0.446,0.989
23,7,6,0.719,0.556,0.842
23,8,59,0.398,0.217,0.65
28,0,16,0.953,0.215,1.037
28,2,9,0.942,0.481,1.011
28,6,14,0.696,0.434,1.034
28,8,40,0.362,0.244,0.615
38,3,5,0.876,0.837,0.884
38,5,9,0.916,0.842,0.934
38,6,14,0.861,0.644,0.97
38,7,6,0.469,0.232,0.786
38,8,34,0.344,0.27,0.652
43,0,10,0.887,0.862,0.907
43,2,18,0.863,0.849,0.876
43,3,9,0.906,0.864,0.964
43,5,23,0.88,0.845,0.946
43,6,32,0.859,0.533,0.913
43,7,13,0.372,0.313,0.715
43,8,81,0.384,0.191,0.656
48,0,20,0.974,0.927,1.025
48,2,13,1.0,0.957,1.033
48,3,8,0.852,0.823,0.93
48,5,10,0.995,0.935,1.033
48,6,29,1.024,0.954,1.053
48,7,9,0.587,0.433,0.733
48,8,54,0.335,0.236,0.777
53,0,12,0.954,0.922,1.006
53,3,7,0.973,0.913,1.023
53,5,5,1.024,1.019,1.046
53,7,7,0.518,0.473,0.936
53,8,30,0.49,0.255,0.881

=== MONTHLY 05 ===
elev,N,count,median,p25,p75
18,0,17,0.676,0.609,0.726
18,2,7,0.665,0.631,0.8
18,3,7,0.648,0.602,0.763
18,5,14,0.645,0.592,0.764
18,6,16,0.61,0.485,0.779
18,7,12,0.601,0.424,0.806
18,8,34,0.542,0.404,0.697
23,2,14,0.69,0.659,0.774
23,3,10,0.717,0.685,0.778
23,5,8,0.732,0.679,0.794
23,6,22,0.667,0.448,0.805
23,8,38,0.347,0.218,0.599
28,0,10,0.958,0.144,1.019
28,2,6,1.006,0.19,1.032
33,0,31,1.008,0.93,1.06
33,2,18,1.002,0.928,1.046
33,3,18,0.991,0.892,1.065
33,5,7,1.028,0.929,1.054
33,6,33,0.858,0.532,1.004
33,7,11,0.801,0.518,1.002
33,8,47,0.301,0.174,0.383
48,0,16,0.887,0.855,0.974
48,2,17,0.903,0.856,0.936
48,3,14,0.916,0.873,0.962
48,5,9,0.95,0.895,0.972
48,6,20,0.878,0.776,0.957
48,7,14,0.788,0.405,0.996
48,8,30,0.264,0.192,0.586
53,0,21,0.952,0.934,1.009
53,2,14,0.947,0.928,1.008
53,3,7,0.923,0.861,0.942
53,5,18,0.929,0.851,0.955
53,6,34,0.943,0.858,0.974
53,7,5,0.405,0.302,0.472
53,8,11,0.665,0.306,0.945
58,0,9,0.986,0.916,0.987
58,2,22,1.004,0.956,1.022
58,3,14,0.986,0.93,1.013
58,5,18,1.015,0.95,1.054
58,6,32,0.956,0.894,1.014
58,7,19,0.547,0.314,0.981
58,8,37,0.586,0.27,0.839

=== MONTHLY 06 ===
elev,N,count,median,p25,p75
23,0,15,0.733,0.691,0.815
23,2,28,0.751,0.703,0.867
23,3,20,0.715,0.643,0.78
23,5,12,0.767,0.72,0.871
23,6,30,0.707,0.455,0.882
23,7,8,0.669,0.379,0.877
23,8,30,0.477,0.349,0.816
33,0,60,0.976,0.904,1.038
33,2,30,0.987,0.853,1.04
33,3,12,0.901,0.713,0.934
33,5,10,0.891,0.696,0.926
33,6,9,0.966,0.932,1.017
33,7,15,0.507,0.312,0.853
33,8,37,0.328,0.183,0.503
53,0,14,0.891,0.881,0.948
53,1,7,0.889,0.875,0.945
53,2,39,0.913,0.88,0.952
53,3,16,0.939,0.903,0.965
53,5,31,0.941,0.866,0.979
53,6,45,0.912,0.826,0.965
53,7,20,0.896,0.87,0.97
53,8,26,0.354,0.153,0.902
63,0,27,0.923,0.826,0.989
63,1,5,0.87,0.861,0.883
63,2,36,0.912,0.864,1.005
63,3,21,0.941,0.861,0.967
63,5,26,0.919,0.859,0.965
63,6,37,0.912,0.835,1.008
63,7,15,0.827,0.535,0.936
63,8,29,0.289,0.217,0.424

=== MONTHLY 07 ===
elev,N,count,median,p25,p75
23,0,14,0.716,0.644,0.78
23,1,9,0.781,0.709,0.862
23,2,19,0.76,0.707,0.796
23,3,20,0.716,0.68,0.806
23,5,38,0.715,0.671,0.822
23,6,41,0.685,0.476,0.781
