elev,N,count,median,p25,p75
23,0,9,1.001,0.989,1.018
23,2,13,1.026,0.976,1.054
23,3,7,0.98,0.942,0.998
23,5,6,1.028,0.924,1.059
23,6,9,0.688,0.596,0.953
23,8,8,0.381,0.332,0.826
33,0,8,0.994,0.952,1.046
33,2,6,0.982,0.965,1.033
33,8,11,0.424,0.152,0.737
53,0,7,0.988,0.964,1.009
53,2,14,0.983,0.956,0.991
53,5,9,0.971,0.956,1.0
53,6,15,0.96,0.915,1.015
53,7,5,0.8,0.59,0.91
63,0,9,0.979,0.959,0.984
63,2,14,0.977,0.963,1.001
63,3,7,0.988,0.97,0.993
63,5,6,0.981,0.935,1.028
63,6,16,0.982,0.962,1.066
63,8,6,0.23,0.221,0.723
