elev,N,count,median,p25,p75
8,0,8,0.886,0.789,1.008
8,2,6,0.958,0.938,0.97
8,6,7,0.88,0.683,0.957
8,7,7,0.662,0.609,0.815
8,8,27,0.591,0.234,0.834
13,0,6,0.711,0.677,0.726
13,2,5,0.495,0.484,0.526
13,5,5,0.689,0.61,0.76
13,6,8,0.812,0.604,0.832
13,7,6,0.63,0.592,0.747
13,8,14,0.398,0.225,0.65
18,6,7,0.797,0.761,0.829
18,8,18,0.467,0.273,0.564
28,8,6,0.449,0.253,0.639
33,0,5,1.061,1.027,1.078
33,6,7,1.063,1.009,1.066
33,7,7,0.565,0.361,0.598
33,8,21,0.638,0.374,0.854
38,2,8,1.035,0.993,1.07
38,5,5,1.024,0.961,1.051
38,6,8,0.888,0.741,1.076
38,8,27,0.415,0.32,0.61
43,8,10,0.496,0.327,0.663
