elev,N,count,median,p25,p75
8,0,13,0.831,0.645,1.008
8,6,7,0.975,0.683,1.028
8,7,5,0.579,0.552,0.609
8,8,23,0.374,0.23,0.827
13,0,9,1.0,0.94,1.034
13,2,6,0.974,0.956,1.058
13,3,8,0.824,0.737,0.996
13,5,5,0.954,0.928,0.958
13,6,12,0.903,0.783,0.944
13,7,12,0.709,0.592,0.846
13,8,54,0.42,0.225,0.592
18,0,16,0.975,0.951,1.01
18,2,15,0.977,0.882,1.059
18,5,9,0.923,0.875,0.995
18,6,20,0.834,0.796,0.929
18,7,10,0.637,0.489,0.665
18,8,73,0.335,0.217,0.546
23,0,26,0.926,0.882,0.992
23,2,13,0.976,0.943,1.041
23,3,13,0.967,0.878,1.016
23,5,13,1.014,0.982,1.053
23,6,17,0.651,0.555,0.953
23,7,10,0.486,0.437,0.888
23,8,45,0.372,0.199,0.602
28,0,23,0.969,0.941,1.004
28,2,9,0.952,0.881,0.967
28,3,6,1.036,1.035,1.063
28,5,7,1.01,0.928,1.045
28,6,11,0.931,0.82,1.013
28,8,18,0.295,0.194,0.417
33,0,11,1.046,1.013,1.078
33,6,15,1.03,0.471,1.073
33,7,7,0.549,0.522,0.586
33,8,27,0.423,0.252,0.68
38,0,7,1.034,1.022,1.062
38,2,11,1.04,1.026,1.055
38,6,5,1.01,0.975,1.011
38,8,21,0.383,0.29,0.415
43,0,6,1.018,1.014,1.038
43,2,15,1.029,1.006,1.047
43,6,6,0.75,0.428,1.017
43,8,12,0.307,0.224,0.501
48,0,23,1.006,0.999,1.022
48,2,8,1.001,0.988,1.026
48,5,8,1.009,0.993,1.056
48,6,8,1.019,1.01,1.043
48,8,12,0.387,0.361,0.666
53,0,22,0.998,0.98,1.009
53,2,19,0.998,0.972,1.009
53,3,11,1.002,0.977,1.034
53,5,16,1.003,0.996,1.072
53,6,13,1.01,0.938,1.026
58,0,6,0.926,0.919,0.933
58,2,8,0.916,0.872,0.97
58,3,6,0.957,0.946,0.967
58,8,9,0.303,0.219,0.773
63,0,5,0.979,0.974,0.984
63,2,8,0.974,0.968,0.981
63,5,5,1.0,0.995,1.028
63,6,9,0.997,0.962,1.052
