elev,N,count,median,p25,p75
8,6,6,0.813,0.718,0.932
8,8,15,0.502,0.144,0.797
13,0,6,0.939,0.815,1.028
13,2,7,0.569,0.518,0.957
13,3,7,0.994,0.952,1.055
13,6,7,0.87,0.802,0.946
13,8,43,0.348,0.211,0.52
18,2,11,0.934,0.903,1.046
18,3,6,0.89,0.669,1.01
18,6,10,0.942,0.726,1.02
18,7,6,0.582,0.423,0.674
18,8,44,0.376,0.219,0.522
23,0,8,1.035,1.013,1.058
23,2,7,1.057,0.951,1.085
23,3,5,1.056,1.012,1.058
23,5,7,0.903,0.756,1.018
23,6,14,0.917,0.726,1.021
23,8,27,0.328,0.219,0.624
28,0,7,0.973,0.953,0.995
28,2,10,0.989,0.94,1.006
28,3,5,0.976,0.974,0.985
28,7,5,0.735,0.729,0.741
28,8,8,0.451,0.3,0.75
33,0,5,1.047,1.032,1.064
33,2,5,1.036,1.016,1.036
33,3,5,1.064,1.027,1.072
33,6,5,0.702,0.672,0.905
33,8,8,0.281,0.226,0.698
43,3,5,0.95,0.944,0.996
43,8,6,0.301,0.173,0.445
48,2,5,1.009,1.0,1.015
48,6,5,0.945,0.278,1.087
48,8,8,0.558,0.352,0.908
53,0,8,1.01,0.994,1.032
53,2,12,0.985,0.938,1.006
53,3,6,1.0,0.97,1.003
53,5,10,1.0,0.969,1.017
53,6,6,1.004,0.92,1.085
53,8,6,0.632,0.196,0.922
58,0,5,0.982,0.976,0.988
58,2,5,1.012,0.948,1.013
63,2,5,1.004,0.994,1.004
