elev,N,count,median,p25,p75
8,0,6,0.878,0.854,1.014
8,6,5,0.932,0.88,0.983
8,8,6,0.262,0.144,0.448
13,0,8,1.031,1.019,1.095
13,3,8,1.019,0.996,1.066
13,5,5,0.958,0.933,1.0
13,6,11,0.898,0.59,0.988
13,7,6,0.451,0.288,0.586
13,8,28,0.4,0.195,0.652
18,0,16,0.987,0.959,1.032
18,2,14,1.016,0.903,1.046
18,3,7,1.03,0.888,1.061
18,5,9,0.958,0.929,1.044
18,6,15,0.859,0.726,0.968
18,8,25,0.471,0.28,0.555
23,0,33,0.94,0.873,1.013
23,2,22,1.024,0.943,1.054
23,3,18,0.993,0.942,1.052
23,5,20,1.016,0.985,1.065
23,6,37,0.726,0.565,1.02
23,7,8,0.616,0.479,1.005
23,8,61,0.368,0.205,0.643
28,0,26,0.957,0.941,0.98
28,2,16,0.938,0.919,0.987
28,5,5,0.936,0.928,1.01
28,6,8,0.944,0.896,1.008
28,7,5,0.607,0.595,0.729
28,8,17,0.295,0.182,0.417
33,0,25,1.026,0.952,1.055
33,2,13,1.007,0.965,1.036
33,3,11,1.008,0.942,1.072
33,6,27,0.879,0.658,1.017
33,7,7,0.543,0.487,0.689
33,8,31,0.302,0.216,0.463
38,0,9,1.04,1.028,1.052
38,2,10,1.039,1.026,1.048
38,5,5,1.074,1.062,1.083
38,6,7,0.688,0.489,1.01
38,7,8,0.735,0.404,1.066
38,8,15,0.336,0.244,0.442
43,0,9,1.019,1.014,1.038
43,2,20,1.022,1.002,1.047
43,3,11,1.011,0.944,1.046
43,5,7,1.014,0.934,1.053
43,6,11,0.927,0.428,1.027
43,7,6,0.795,0.503,1.04
43,8,31,0.342,0.224,0.488
48,0,28,1.007,0.999,1.022
48,2,15,1.0,0.988,1.015
48,3,9,0.977,0.949,1.024
48,5,12,0.994,0.966,1.056
48,6,19,1.01,0.706,1.053
48,7,12,0.672,0.566,0.967
48,8,33,0.382,0.285,0.562
53,0,33,0.995,0.98,1.016
53,1,5,1.023,0.969,1.023
53,2,40,0.988,0.956,1.005
53,3,21,0.997,0.977,1.02
53,5,34,0.997,0.972,1.018
53,6,39,0.988,0.915,1.029
53,7,12,0.766,0.573,0.989
53,8,17,0.263,0.195,0.473
58,0,11,0.933,0.921,0.982
58,2,17,0.948,0.877,0.97
58,3,10,0.96,0.947,0.991
58,5,10,0.978,0.971,1.028
58,6,11,0.955,0.851,1.029
58,7,7,0.846,0.342,1.013
58,8,16,0.332,0.222,0.874
63,0,11,0.979,0.955,0.985
63,2,19,0.979,0.968,1.001
63,3,7,0.988,0.97,0.993
63,5,7,0.995,0.935,1.028
63,6,18,0.989,0.962,1.052
63,7,7,0.792,0.539,0.953
63,8,8,0.291,0.222,0.723
