elev,N,count,median,p25,p75
8,0,22,0.636,0.524,0.794
8,2,8,0.702,0.671,0.75
8,3,7,0.68,0.603,0.814
8,5,6,0.541,0.47,0.8
8,6,12,0.644,0.39,0.872
8,7,12,0.548,0.455,0.698
8,8,36,0.406,0.239,0.672
13,0,16,0.619,0.504,0.684
13,2,13,0.648,0.557,0.694
13,3,12,0.672,0.641,0.705
13,5,11,0.634,0.561,0.686
13,6,26,0.639,0.553,0.71
13,7,23,0.643,0.493,0.793
13,8,88,0.335,0.189,0.539
18,0,44,0.635,0.602,0.711
18,2,45,0.626,0.6,0.714
18,3,16,0.714,0.69,0.763
18,5,31,0.702,0.62,0.791
18,6,60,0.67,0.609,0.779
18,7,34,0.455,0.398,0.589
18,8,190,0.318,0.193,0.502
23,0,43,0.742,0.691,0.822
23,2,22,0.757,0.7,0.791
23,3,30,0.728,0.66,0.778
23,5,45,0.735,0.672,0.789
23,6,45,0.679,0.443,0.795
23,7,30,0.521,0.397,0.695
23,8,121,0.346,0.204,0.547
28,0,57,0.857,0.207,0.981
28,2,25,0.838,0.779,0.939
28,3,18,0.845,0.805,0.862
28,5,21,0.847,0.795,0.888
28,6,40,0.813,0.694,0.891
28,7,11,0.473,0.36,0.749
28,8,53,0.299,0.226,0.576
33,0,71,0.882,0.706,0.937
33,2,33,0.86,0.717,0.915
33,3,29,0.885,0.716,0.934
33,5,29,0.895,0.728,0.95
33,6,50,0.788,0.553,0.976
33,7,22,0.598,0.366,0.741
33,8,63,0.399,0.223,0.706
38,0,14,0.849,0.813,0.873
38,2,20,0.844,0.821,0.964
38,5,11,0.894,0.766,0.92
38,6,11,0.737,0.389,0.855
38,7,8,0.435,0.316,0.809
38,8,52,0.303,0.215,0.36
43,0,13,0.844,0.823,0.867
43,2,33,0.857,0.827,0.875
43,3,8,0.846,0.81,0.902
43,5,5,0.858,0.843,0.876
43,6,24,0.876,0.533,1.006
43,7,7,0.313,0.239,0.981
43,8,29,0.25,0.206,0.379
48,0,49,0.85,0.811,0.9
48,1,6,0.837,0.81,0.913
48,2,22,0.848,0.802,0.917
48,3,10,0.858,0.823,0.95
48,5,22,0.852,0.82,0.922
48,6,23,0.922,0.808,0.978
48,8,34,0.337,0.242,0.745
53,0,48,0.901,0.856,0.959
53,1,10,0.886,0.842,1.002
53,2,43,0.88,0.858,0.932
53,3,26,0.902,0.868,0.962
53,5,39,0.902,0.838,0.956
53,6,46,0.889,0.804,0.973
53,7,16,0.685,0.338,0.935
53,8,7,0.897,0.196,1.037
58,0,16,0.889,0.77,0.962
58,2,20,0.902,0.798,0.958
58,3,18,0.925,0.793,1.006
58,5,11,0.907,0.78,0.973
58,6,21,0.909,0.801,0.96
58,7,6,0.285,0.103,0.399
58,8,20,0.432,0.231,0.813
63,0,10,0.81,0.692,0.897
63,2,16,0.841,0.772,0.912
63,3,6,0.859,0.767,0.945
63,5,12,0.843,0.781,0.925
63,6,20,0.848,0.808,0.935
63,7,7,0.87,0.504,1.081
